sample_no,project_code,material_code,test_item,submitted_on,completed_on,result,cost,currency,turnaround_days
AST-00001,Project C,Ceramic-C,Chemical Compatibility,2026-04-06,2026-04-12,PASS,97.61,USD,6
AST-00002,Project F,Alloy-X,Thermal Cycling,2026-04-14,2026-04-18,PASS,96.21,USD,4
AST-00003,Project J,Copper-M,Impact Resistance,2026-05-29,2026-06-05,PASS,87.61,USD,7
AST-00004,Project C,Ceramic-C,Chemical Compatibility,2026-03-04,2026-03-09,PASS,123.73,USD,5
AST-00005,Project F,Copper-M,Humidity Exposure,2026-04-09,2026-04-15,PASS,106.18,USD,6
AST-00006,Project I,Alloy-X,Salt Spray,2026-04-05,2026-04-13,FAIL,87.96,USD,8
AST-00007,Project C,Copper-M,Salt Spray,2026-04-11,2026-04-15,PASS,124.11,USD,4
AST-00008,Project G,Composite-Z,Thermal Cycling,2026-05-11,2026-05-19,PASS,93.03,USD,8
AST-00009,Project J,Alloy-X,Thermal Cycling,2026-06-01,2026-06-09,PASS,108.70,USD,8
AST-00010,Project F,Ceramic-C,Tensile Strength,2026-07-17,2026-07-25,PASS,91.39,USD,8
AST-00011,Project E,Ceramic-C,Tensile Strength,2026-06-13,2026-06-19,PASS,112.61,USD,6
AST-00012,Project C,Copper-M,Tensile Strength,2026-02-07,2026-02-13,PASS,105.73,USD,6
AST-00013,Project H,Composite-Z,Tensile Strength,2026-05-26,2026-06-03,FAIL,108.93,USD,8
AST-00014,Project F,Copper-M,Chemical Compatibility,2026-03-18,2026-03-28,PASS,99.09,USD,10
AST-00015,Project D,Copper-M,Humidity Exposure,2026-05-24,2026-06-03,PASS,114.02,USD,10
AST-00016,Project H,Ceramic-C,Chemical Compatibility,2026-02-21,2026-02-27,PASS,117.48,USD,6
AST-00017,Project J,Composite-Z,Tensile Strength,2026-06-04,2026-06-09,PASS,91.71,USD,5
AST-00018,Project J,Copper-M,Chemical Compatibility,2026-03-16,2026-03-23,PASS,84.81,USD,7
AST-00019,Project J,Alloy-X,Salt Spray,2026-02-08,2026-02-15,PASS,89.43,USD,7
AST-00020,Project G,Alloy-X,Salt Spray,2026-04-11,2026-04-16,PASS,120.86,USD,5
AST-00021,Project A,Alloy-X,Tensile Strength,2026-05-26,2026-06-03,FAIL,85.08,USD,8
AST-00022,Project I,Ceramic-C,Tensile Strength,2026-06-18,2026-06-26,FAIL,91.51,USD,8
AST-00023,Project F,Polymer-A,Tensile Strength,2026-05-26,2026-05-30,PASS,84.41,USD,4
AST-00024,Project C,Polymer-A,Humidity Exposure,2026-05-25,2026-05-31,PASS,101.08,USD,6
AST-00025,Project G,Copper-M,Salt Spray,2026-07-10,2026-07-18,PASS,124.10,USD,8
AST-00026,Project B,Alloy-X,Thermal Cycling,2026-04-11,2026-04-16,PASS,85.32,USD,5
AST-00027,Project F,Composite-Z,Salt Spray,2026-05-11,2026-05-21,PASS,87.67,USD,10
AST-00028,Project F,Polymer-A,Chemical Compatibility,2026-03-13,2026-03-17,PASS,84.27,USD,4
AST-00029,Project F,Composite-Z,Thermal Cycling,2026-04-23,2026-04-30,PASS,126.70,USD,7
AST-00030,Project G,Ceramic-C,Thermal Cycling,2026-05-25,2026-05-30,PASS,88.73,USD,5
AST-00031,Project F,Polymer-A,Humidity Exposure,2026-04-04,2026-04-08,PASS,86.17,USD,4
AST-00032,Project J,Polymer-A,Thermal Cycling,2026-02-19,2026-02-24,PASS,93.49,USD,5
AST-00033,Project G,Composite-Z,Thermal Cycling,2026-03-26,2026-04-05,PASS,98.90,USD,10
AST-00034,Project I,Composite-Z,Impact Resistance,2026-07-25,2026-07-30,PASS,105.75,USD,5
AST-00035,Project B,Polymer-A,Impact Resistance,2026-07-12,2026-07-16,PASS,101.32,USD,4
AST-00036,Project H,Ceramic-C,Thermal Cycling,2026-05-13,2026-05-21,PASS,102.65,USD,8
AST-00037,Project E,Copper-M,Thermal Cycling,2026-04-25,2026-05-04,PASS,85.67,USD,9
AST-00038,Project B,Copper-M,Impact Resistance,2026-03-16,2026-03-26,PASS,110.51,USD,10
AST-00039,Project H,Copper-M,Humidity Exposure,2026-05-10,2026-05-19,PASS,90.10,USD,9
AST-00040,Project C,Composite-Z,Tensile Strength,2026-06-14,2026-06-23,PASS,89.18,USD,9
AST-00041,Project D,Alloy-X,Chemical Compatibility,2026-07-14,2026-07-23,PASS,86.86,USD,9
AST-00042,Project G,Composite-Z,Tensile Strength,2026-03-11,2026-03-21,PASS,117.85,USD,10
AST-00043,Project F,Polymer-A,Thermal Cycling,2026-02-05,2026-02-09,PASS,89.97,USD,4
AST-00044,Project J,Alloy-X,Thermal Cycling,2026-05-14,2026-05-19,PASS,121.74,USD,5
AST-00045,Project G,Composite-Z,Impact Resistance,2026-03-12,2026-03-22,FAIL,124.28,USD,10
AST-00046,Project A,Ceramic-C,Chemical Compatibility,2026-03-25,2026-04-03,PASS,101.59,USD,9
AST-00047,Project F,Ceramic-C,Impact Resistance,2026-06-28,2026-07-03,PASS,117.39,USD,5
AST-00048,Project F,Composite-Z,Chemical Compatibility,2026-04-25,2026-04-29,PASS,121.87,USD,4
AST-00049,Project J,Composite-Z,Impact Resistance,2026-04-27,2026-05-03,PASS,85.51,USD,6
AST-00050,Project D,Alloy-X,Humidity Exposure,2026-06-24,2026-06-29,PASS,108.87,USD,5
AST-00051,Project G,Composite-Z,Chemical Compatibility,2026-07-24,2026-07-30,PASS,88.65,USD,6
AST-00052,Project I,Composite-Z,Salt Spray,2026-02-13,2026-02-23,PASS,93.70,USD,10
AST-00053,Project B,Polymer-A,Chemical Compatibility,2026-07-10,2026-07-15,PASS,124.57,USD,5
AST-00054,Project F,Copper-M,Impact Resistance,2026-03-18,2026-03-23,PASS,94.23,USD,5
AST-00055,Project B,Copper-M,Thermal Cycling,2026-05-15,2026-05-24,PASS,86.97,USD,9
AST-00056,Project J,Composite-Z,Chemical Compatibility,2026-07-02,2026-07-12,PASS,86.77,USD,10
AST-00057,Project C,Copper-M,Thermal Cycling,2026-02-14,2026-02-21,PASS,122.83,USD,7
AST-00058,Project C,Composite-Z,Impact Resistance,2026-04-30,2026-05-10,PASS,107.98,USD,10
AST-00059,Project A,Ceramic-C,Chemical Compatibility,2026-05-10,2026-05-14,PASS,122.55,USD,4
AST-00060,Project C,Composite-Z,Impact Resistance,2026-03-29,2026-04-04,PASS,92.12,USD,6
AST-00061,Project B,Alloy-X,Thermal Cycling,2026-03-11,2026-03-16,PASS,112.45,USD,5
AST-00062,Project C,Polymer-A,Humidity Exposure,2026-06-09,2026-06-19,PASS,120.41,USD,10
AST-00063,Project F,Polymer-A,Salt Spray,2026-02-22,2026-03-04,PASS,127.52,USD,10
AST-00064,Project C,Copper-M,Humidity Exposure,2026-03-16,2026-03-26,PASS,126.48,USD,10
AST-00065,Project H,Alloy-X,Chemical Compatibility,2026-02-18,2026-02-22,PASS,99.73,USD,4
AST-00066,Project D,Alloy-X,Thermal Cycling,2026-05-25,2026-06-03,PASS,94.38,USD,9
AST-00067,Project A,Alloy-X,Salt Spray,2026-04-08,2026-04-13,PASS,102.42,USD,5
AST-00068,Project C,Composite-Z,Tensile Strength,2026-02-14,2026-02-24,PASS,110.91,USD,10
AST-00069,Project B,Ceramic-C,Thermal Cycling,2026-02-26,2026-03-04,PASS,112.55,USD,6
AST-00070,Project B,Polymer-A,Salt Spray,2026-04-25,2026-05-05,PASS,93.91,USD,10
AST-00071,Project G,Alloy-X,Chemical Compatibility,2026-06-26,2026-07-03,PASS,122.25,USD,7
AST-00072,Project C,Ceramic-C,Thermal Cycling,2026-04-08,2026-04-15,PASS,84.71,USD,7
AST-00073,Project H,Composite-Z,Humidity Exposure,2026-06-30,2026-07-06,PASS,119.33,USD,6
AST-00074,Project J,Alloy-X,Salt Spray,2026-04-06,2026-04-10,PASS,95.22,USD,4
AST-00075,Project I,Polymer-A,Chemical Compatibility,2026-05-22,2026-05-26,PASS,96.71,USD,4
AST-00076,Project E,Ceramic-C,Tensile Strength,2026-02-17,2026-02-21,PASS,118.82,USD,4
AST-00077,Project A,Ceramic-C,Salt Spray,2026-07-13,2026-07-21,PASS,93.80,USD,8
AST-00078,Project F,Composite-Z,Humidity Exposure,2026-04-21,2026-04-25,PASS,102.00,USD,4
AST-00079,Project H,Alloy-X,Salt Spray,2026-03-08,2026-03-16,PASS,114.48,USD,8
AST-00080,Project E,Ceramic-C,Chemical Compatibility,2026-02-10,2026-02-18,PASS,95.69,USD,8
AST-00081,Project C,Ceramic-C,Impact Resistance,2026-05-23,2026-05-29,PASS,114.85,USD,6
AST-00082,Project G,Copper-M,Salt Spray,2026-06-13,2026-06-20,FAIL,121.18,USD,7
AST-00083,Project H,Composite-Z,Impact Resistance,2026-02-16,2026-02-22,PASS,100.51,USD,6
AST-00084,Project E,Copper-M,Chemical Compatibility,2026-06-16,2026-06-22,PASS,105.76,USD,6
AST-00085,Project C,Composite-Z,Tensile Strength,2026-06-02,2026-06-09,PASS,93.81,USD,7
AST-00086,Project A,Ceramic-C,Tensile Strength,2026-04-26,2026-05-05,PASS,95.00,USD,9
AST-00087,Project B,Alloy-X,Impact Resistance,2026-04-11,2026-04-20,FAIL,121.88,USD,9
AST-00088,Project D,Copper-M,Humidity Exposure,2026-04-16,2026-04-25,PASS,109.43,USD,9
AST-00089,Project G,Polymer-A,Salt Spray,2026-05-20,2026-05-24,PASS,96.43,USD,4
AST-00090,Project F,Copper-M,Impact Resistance,2026-05-27,2026-06-02,PASS,115.88,USD,6
AST-00091,Project H,Copper-M,Chemical Compatibility,2026-03-20,2026-03-29,PASS,93.23,USD,9
AST-00092,Project H,Alloy-X,Chemical Compatibility,2026-02-26,2026-03-08,PASS,120.91,USD,10
AST-00093,Project H,Ceramic-C,Salt Spray,2026-07-10,2026-07-17,PASS,125.95,USD,7
AST-00094,Project D,Copper-M,Chemical Compatibility,2026-06-25,2026-07-04,PASS,117.52,USD,9
AST-00095,Project B,Alloy-X,Chemical Compatibility,2026-03-20,2026-03-27,PASS,107.53,USD,7
AST-00096,Project B,Alloy-X,Chemical Compatibility,2026-03-21,2026-03-28,PASS,112.61,USD,7
AST-00097,Project B,Alloy-X,Salt Spray,2026-07-25,2026-07-31,PASS,92.51,USD,6
AST-00098,Project F,Alloy-X,Chemical Compatibility,2026-04-23,2026-05-01,PASS,95.03,USD,8
AST-00099,Project I,Composite-Z,Thermal Cycling,2026-04-06,2026-04-15,PASS,120.96,USD,9
